,lat,lon,depth,time,evid,nass,ml,sdobs,etype,Annotations
450,60.9035,-141.0132,18.3561,1664950202,1466,12,-999,2.5868,D,duplicate of MACTEHD evid #1465
451,61.0869,-141.4106,23.4172,1664958483,1468,14,2.59,0.9023,n,"""phantom event"" on regional signal — Pn/Pg phase arrivals"
452,60.36,-143.6984,0.0023,1664987752,1469,8,1.04,0.9411,-,earthquake
453,60.2737,-138.9234,45.0548,1664987797,1470,5,-999,0.7791,n,impulsive noise paired with decaying teleseismic signal
454,59.0096,-138.9109,100,1665005771,1471,8,-999,4.6156,-,"earthquake (poor location, deep 100k)"
455,60.9854,-143.9383,35.9839,1665008258,1472,25,3.67,0.7102,n,"""phantom event"" on regional signal — Pn/Pg phase arrivals"
456,60.2477,-143.231,99.9286,1665008292,1474,5,3.59,2.1399,n,"""phantom event"" on regional signal — Sn/Sg phase arrivals"
457,59.1619,-142.8257,99.9399,1665008283,1475,6,4.17,1.3526,D,duplicate of evid #1474
458,60.7403,-141.7176,1.2075,1665008308,1476,4,3.6,0.2249,D,duplicate of evid #1474
460,61.01,-139.557,37.2855,1665034846,1478,6,-999,1.1261,-,earthquake (missing phases)
